"channelId","customUrl","title","country","viewCount","subscriberCount","videoCount","madeForkids","creationDate"
"UCFmL725KKPx2URVPvH3Gp8w","@asmrglow","ASMR Glow","US","579354212","1720000","736","False","2016-10-24T08:22:54Z"
"UCvp9ypbbOQ2-vtuO-J3k-lw","@alexandriaasmr8317","Alexandria ASMR","US","108539091","548000","295","False","2018-10-16T19:45:42Z"
"UCrZyUPCnPgPDFNzawuI2QVA","@asmrjas","ASMR Jas","CA","28304876","313000","60","False","2020-05-03T02:20:06.799314Z"
"UCNkX5VXtTe4Clkogm6h6QWA","@gingerasmr","Ginger ASMR","US","56191711","241000","233","False","2019-01-12T22:57:14Z"
"UCikebqFWoT3QC9axUbXCPYw","@theasmrdarling","ASMR Darling","US","615078281","2520000","269","False","2014-12-11T04:12:54Z"
"UCRB4EDyK-BIwIVhdSJbwQRA","@dongasmr","Dong ASMR","SG","131766464","678000","448","False","2019-08-03T08:15:33Z"
"UCmZb4LwQRhEzZX5Uqpcqziw","@coromosaraasmr","Coromo Sara. ASMR","JP","393283355","1850000","375","False","2017-09-26T04:14:14Z"
"UCqFbF_CD2CJ_jwiQCfCJqEQ","@madiasmr","Madi ASMR","US","106141181","472000","348","False","2018-12-03T01:15:06Z"
"UC4YDVivhPsOEuyl1-WwLA-w","@fredsvoice","FredsVoice ASMR","GB","344666586","1750000","522","False","2011-05-23T22:44:28Z"
"UC6gLlIAnzg7eJ8VuXDCZ_vg","@gentlewhisperingasmr","Gentle Whispering ASMR","US","1047007476","2230000","646","False","2011-02-24T21:58:24Z"
"UCNXK8DPUvr7NS8HHwW-GwzQ","@telinaasmr","Telina ASMR","n/a","22198487","148000","275","n/a","2019-06-26T22:41:51Z"
"UCRz3cGfqeMPSHMBN6CxKQ9w","@asmrcham","ASMR Cham","US","77166647","416000","502","False","2018-03-01T11:36:20Z"
"UClqNSqnWeOOUVkzcJFj4rBw","@tingtingasmr","Tingting ASMR","US","580868499","2310000","635","False","2017-04-26T17:29:57Z"
"UCiOkLo-uqm543NQv3Zjh03g","@asmrwinkeyy","ASMR Winkeyy","US","172635015","1050000","323","False","2020-05-02T15:17:54.473226Z"
"UCR3m5LGZuqORVdUZ1KaieYg","@karunasatoriasmr","Karuna Satori ASMR","n/a","418517427","1240000","1135","n/a","2013-10-06T00:39:30Z"
"UC6fAYCOjXMzb1K07i0G5gOQ","@myalingasmr","Myaling ASMR","KR","92733884","684000","85","n/a","2018-09-16T23:56:22Z"
"UCWLTUR6tVgOCB2abJgIizvQ","@lottielovesasmr","LottieLoves ASMR","GB","52247901","247000","609","False","2018-09-24T19:56:03Z"
"UCGa0i7fssw6ZecR8BaulWyA","@realmouth","RealMouth ASMR","KR","393223795","2090000","799","False","2018-09-23T09:46:18Z"
"UCfg27yDA92WI1YsJNS3OLTQ","@cherielorraine","Cherie Lorraine ASMR","US","13210537","149000","40","False","2021-11-04T06:38:55.155945Z"
"UCiorb8zE67MvrBQGagNWutQ","@vivaasmr","VIVA ASMR","KR","105581272","555000","186","False","2018-02-05T09:20:55Z"
"UChmCw-lM24QMTg9BdA150tQ","@angelsasmr","Angels ASMR","US","23987844","163000","57","False","2017-02-09T08:24:12Z"
"UCXTAGLo2UWlOwNMpbEkyBOw","@whisperingwillow_asmr","Whispering Willow ASMR","n/a","39101975","395000","217","False","2020-10-18T06:57:36.19429Z"
"UCDwR_uew-XkbO0RjUAgrUug","@sarahlavenderasmr","Sarah Lavender ASMR","US","37006272","235000","202","False","2019-11-09T00:41:36.477744Z"
"UCpHS-w6UrxBPX5UXLMmhJ1A","@abbyasmr","Abby ASMR","DE","26513583","141000","196","False","2020-05-25T19:14:07.999207Z"
"UCmThhVN1J_Dgj2YXvuv_LwA","@rainessaasmr","Rainessa ASMR","n/a","3443837","32800","87","n/a","2021-12-11T20:36:10.144318Z"
"UCU-NS0mDTR03_QXW50D-gRw","@jazzyasmr","Jazzy ASMR","US","18194910","129000","179","n/a","2019-03-17T02:27:12Z"
"UC_ARaeDGHVLAqi6whEWQRTg","@ozleyasmr","Ozley ASMR","US","65134983","590000","345","False","2018-09-28T12:27:27Z"
"UCD_wbYHQeVbx_utWokhFdEw","@jociebasmr","Jocie B ASMR","US","264514444","1920000","222","False","2018-06-02T14:45:42Z"
"UC2nyigZS5YNDrCu_pih809w","@whispersredasmr","WhispersRed ASMR","GB","355871318","1040000","663","False","2013-04-12T08:21:16Z"
"UC79B6k5KZxYLETtXFfZH1cg","@slightsoundsasmr","Slight Sounds ASMR","n/a","59122846","355000","365","False","2013-12-12T00:48:01Z"
"UCUuENVpVuzqpRsXWIDlpQTg","@carolineasmr","Caroline ASMR","US","150900626","631000","339","False","2014-08-02T14:29:19Z"
"UCI6K8kxBhiu4q_i5jGpPSqw","@asmrrebecca","ASMR Rebecca","n/a","10267965","74900","123","n/a","2022-01-28T15:19:11.810439Z"
"UCftD_LCuDAwlPipnM6Uikqw","@moonlightcottageasmr","Moonlight Cottage ASMR","FR","86913863","983000","95","False","2019-10-01T14:18:54Z"
"UCaZSbl6ZE8FmA6sATtcmIZQ","@whisperaudiosasmr","WhisperAudios ASMR","GB","40903907","199000","432","False","2012-02-01T20:09:12Z"
"UCWhhgm8QBBG4H2sUjJzZ6Fw","@asmrwan","ASMR Wan","US","77222046","393000","150","n/a","2020-03-20T16:48:52.457047Z"
"UCHRkSLjIpOjKI1QHVjLtBYQ","@morpheusasmr6096","Morpheus ASMR","US","94376282","1200000","560","False","2018-09-08T02:44:21Z"
"UC70L2WB74vgwmkVGm_iJkIw","@softlysweetasmr","SoftlySweet ASMR","CA","18278017","175000","17","False","2019-01-29T05:05:59Z"
"UC1-APDMA2UhZ1ySUpXvfF-w","@miaasmrr","Mia ASMR","n/a","47417680","293000","316","n/a","2013-10-27T19:43:31Z"
"UCpEuioVX1z1qz0QEUDycRhA","@srpasmr","SRP ASMR","GB","52740059","198000","374","False","2018-03-25T14:00:09Z"
"UCjyi6by44TTH0j_U3vXEGpA","@jojosasmr","Jojo's ASMR","n/a","767584764","2540000","1159","False","2015-01-19T10:28:00Z"
